,Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
246,TE11,STV,Stevens,史蒂芬,2022.0,,92 Stevens Road,257877.0,1.32,103.826111111111
247,TE12,NPR,Napier,纳比雅,2022.0,,2 Napier Road,258511.0,1.30694444444444,103.819166666666
248,TE13,OBV,Orchard Boulevard,乌节林荫道,2022.0,,20 Orchard Boulevard,248654.0,1.3025,103.825
249,TE14,ORC,Orchard,乌节,2022.0,,437 Orchard Road,238878.0,1.30333333333333,103.831666666666
250,TE15,GRW,Great World,大世界,2022.0,,351 River Valley Road,238384.0,1.295,103.833611111111
251,TE16,HVL,Havelock,合乐,2022.0,,110 Zion Road,168604.0,1.28777777777777,103.833611111111
252,TE17,OTP,Outram Park,欧南园,2022.0,,10 Outram Road,169037.0,1.28027777777777,103.839444444444
253,TE18,MAX,Maxwell,麦士威,2022.0,,50 Neil Road,88906.0,1.2806881,103.8440713
254,TE19,SHW,Shenton Way,珊顿道,2022.0,,2 Park Street,18928.0,1.27749999999999,103.850833333333
255,TE2,WDL,Woodlands,兀兰,2020.0,,30 Woodlands Avenue 2,738343.0,1.43709444444444,103.786483333333
256,TE20,MRB,Marina Bay,滨海湾,2020.0,,21 Park Street,18925.0,1.27609722222222,103.854675
257,TE21,MRS,Marina South,滨海南,,,61 Marina Mall,19397.0,1.27388888888888,103.863055555555
258,TE22,GRB,Gardens by the Bay,滨海湾花园,2022.0,,11 Marina Mall,19396.0,1.27833333333333,103.868055555555
259,TE22A,FDM,Founders' Memorial,建国先贤纪念园,2027.0,,,,1.29111111111111,103.868611111111
260,TE23,TRH,Tanjong Rhu,丹戎禺,2024.0,,2 Tanjong Rhu Place,436488.0,1.29722222222222,103.873333333333
261,TE24,KTP,Katong Park,加东公园,2024.0,,,,1.29777777777777,103.885277777777
262,TE25,TKT,Tanjong Katong,丹戎加东,2024.0,,2 Amber Road,439846.0,1.29916666666666,103.897777777777
263,TE26,MPR,Marine Parade,马林百列,2024.0,,,,1.3025,103.905
264,TE27,MTC,Marine Terrace,马林台,2024.0,,,,1.30611111111111,103.913333333333
265,TE28,SGL,Siglap,实乞纳,2024.0,,,,1.30972222222222,103.928888888888
266,TE29,BSR,Bayshore,碧湾,2024.0,,,,1.31472222222222,103.943611111111
267,TE3,WDS,Woodlands South,兀兰南,2020.0,,30 Woodlands Drive 17,737741.0,1.42722222222222,103.793888888888
268,TE30,BDS,Bedok South,勿洛南,2025.0,,,,1.31666666666666,103.948333333333
269,TE31,SGB,Sungei Bedok,双溪勿洛,2025.0,,,,1.32027777777777,103.957222222222
270,TE4,SPL,Springleaf,春叶,2021.0,,825 Upper Thomson Road,787140.0,1.39777777777777,103.818333333333
271,TE5,LTR,Lentor,伦多,2021.0,,1 Lentor Drive,789361.0,1.38472222222222,103.836666666666
272,TE6,MFL,Mayflower,美华,2021.0,,91 Ang Mo Kio Avenue 4,569900.0,1.3725,103.837222222222
273,TE7,BRH,Bright Hill,光明山,2021.0,,100 Sin Ming Avenue,575737.0,1.3631844,103.8330215
274,TE8,UTS,Upper Thomson,汤申路上段,2021.0,,1 Jalan Keli,577937.0,1.35416666666666,103.833333333333
275,TE9,CDT,Caldecott,加利谷,2021.0,,38 Toa Payoh Rise,298113.0,1.33777777777777,103.839444444444
