Name,Latitude,Longitude,Level,Funding,Type,Notes,Opening Year,School Code,Exp,NA,NT,IP,Affiliated Schools COP
Cedar Girls' Secondary School,1.333758002,103.8739331,Secondary,GovernmentAutonomousIP,Girls,Affiliated to: Victoria Junior College (IP) Victoria School (IP),1957,IP:9152Express:3004,249,,,253,
Cedar Primary School,1.335588501,103.875621,Primary,Government,Mixed,Merged with MacPherson Primary School in 2019[5],,1211,,,,,
Changkat Changi Secondary School,1.339506301,103.9532455,Secondary,Government,Mixed,,,3402,188,152,,,
Changkat Primary School,1.34023164,103.9520801,Primary,Government,Mixed,,,1239,,,,,
CHIJ (Katong) Primary,1.306485353,103.9111056,Primary,Government-aided,Girls,,,,,,,,
CHIJ (Kellock),1.275022723,103.8281576,Primary,Government-aided,Girls,,,5005,,,,,
CHIJ Katong Convent,1.30644268,103.9171444,Secondary,Government-aidedAutonomous,Girls,Affiliated to: Catholic Junior College (Non-IP) CHIJ Katong,,7008,229,158,111,,CHIJ (Katong) Primary: 203
CHIJ Our Lady of Good Counsel,1.357429523,103.8640094,Primary,Government-aided,Girls,,,5017,,,,,
CHIJ Our Lady of the Nativity,1.373302971,103.8975757,Primary,Government-aided,Girls,,,5007,,,,,
CHIJ Our Lady Queen of Peace,1.366603669,103.7674122,Primary,Government-aided,Girls,,,5019,,,,,
CHIJ Primary (Toa Payoh),1.332752647,103.8418473,Primary,Government-aided,Girls,,,5004,,,,,
CHIJ Secondary (Toa Payoh),1.332460799,103.8432716,Secondary,Government-aidedAutonomous,Girls,Affiliated to: Catholic Junior College (Non-IP) CHIJ Primary (Toa Payoh),1854,7004,246,187,105,,CHIJ Primary (Toa Payoh): 200
CHIJ St. Joseph's Convent,1.391752223,103.902465,Secondary,Government-aided,Girls,Affiliated to: Catholic Junior College (Non-IP) CHIJ Our Lady of the Nativity & CHIJ Our Lady of Good Counsel,1938,7019,237,187,139,,CHIJ Our Lady of the Nativity/CHIJ Our Lady of Good Counsel: 200
CHIJ St. Nicholas Girls' School,1.373476879,103.8342533,Secondary,Government-aidedAutonomousSAPIP,Girls,"Affiliated to: Eunoia Junior College (IP), Singapore Chinese Girls' School (IP) & Catholic High School (IP) Catholic Junior College (Non-IP) CHIJ St. Nicholas Girls' School",1933,IP:9134Special:7118,253,,,257,CHIJ St. Nicholas Girls' School: 230
CHIJ St. Nicholas Girls' School,1.373476879,103.8342533,Primary,"Government-aided, SAP",Girls,,1933,,,,,,
CHIJ St. Theresa's Convent,1.275351775,103.8224407,Secondary,Government-aided,Girls,"Affiliated to: Catholic Junior College (Non-IP) CHIJ (Kellock), CHIJ Our Lady Queen of Peace",1933,7023,238,184,110,,CHIJ (Kellock)/CHIJ Our Lady Queen of Peace: 200
Chongfu School,1.438395629,103.8393092,Primary,Government-aided,Mixed,Affiliated to Singapore Hokkien Huay Kuan[4],,5636,,,,,
Chongzheng Primary School,1.350707392,103.9513995,Primary,Government,Mixed,,,1203,,,,,
Christ Church Secondary School,1.426567809,103.7934511,Secondary,Government-aided,Mixed,Affiliated to: St. Andrews Junior College (Non-IP),1952,7025,207,170,122,,
Chua Chu Kang Primary School,1.377758901,103.7418329,Primary,Government,Mixed,,,1244,,,,,
Chua Chu Kang Secondary School,1.383190293,103.7518783,Secondary,Government,Mixed,,1992,3055,216,171,115,,
