Name,Location,Unit,Search,Address,Postal Code,Latitude,Longitude,Link
Burger King,Suntec City,#03-371,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",3 Temasek Boulevard #03-371 (East Wing) Singapore 038983,38983,1.2951,103.8585,https://www.halaltag.com/place/2
Burger King,Tampines Mall,,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",None,0,0,0,https://www.halaltag.com/place/2
Burger King,Tampines North Community Club,#01-02,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",2 Tampines St 41 #01-02 Singapore 529204,529204,1.3573,103.9467,https://www.halaltag.com/place/2
Burger King,Toa Payoh (Others),#01-05,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",530 Lorong 6 Toa Payoh #01-05 Singapore 310530,310530,1.3323,103.8473,https://www.halaltag.com/place/2
Burger King,VivoCity,#02-80/81,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1 Harbourfront Walk #02-80/81 Singapore 098585,98585,1.2642,103.8224,https://www.halaltag.com/place/2
Fish & Co,AMK Hub,#02-03,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",53 Ang Mo Kio Avenue 3 #02-03 Singapore 569807,569807,1.369638889,103.8485,https://www.halaltag.com/place/3
Fish & Co,Jurong Point Shopping Mall,#03-34,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",1 Jurong West Central 2 #03-34 Singapore 648886,648886,1.3396,103.7067,https://www.halaltag.com/place/3
Fish & Co,Novena Square Shopping Mall,#03-11,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",238 Thomson Road #03-11 Singapore 307683,307683,1.3202,103.8438,https://www.halaltag.com/place/3
Fish & Co,Tampines 1,#04-11,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",10 Tampines Central 1 #04-11 Singapore 529536,529536,1.3543,103.9451,https://www.halaltag.com/place/3
Fish & Co,The Paragon,#B1-35/36,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",290 Orchard Road #B1-35/36 Singapore 238859,238859,1.3039,103.8355,https://www.halaltag.com/place/3
Fish & Co,VivoCity,#02-116,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",1 Harbourfront Walk #02-116 Singapore 098585,98585,1.2642,103.8224,https://www.halaltag.com/place/3
Fish & Co,Waterway Point,#B1-18,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",83 Punggol Central #B1-18 Singapore 828761,828761,1.4065,103.9021,https://www.halaltag.com/place/3
Fish & Co,Westgate,#01-03,"Fish & Co , Restaurant, Cuisine, Western, Food, View Food, Recommend food, Fish and Chips",3 Gateway Drive #01-03 Singapore 608532,608532,1.3341,103.7427,https://www.halaltag.com/place/3
KFC,Alexandra Retail Centre (ARC),#01-23/24,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",460 Alexandra Road #01-23/24 Singapore 119963,119963,1.2737,103.8013,https://www.halaltag.com/place/5
KFC,Anchorpoint Shopping Centre,#01-15/16,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",370 Alexandra Rd #01-15/16  Singapore 159953,159953,1.2887,103.8051,https://www.halaltag.com/place/5
KFC,Ang Mo Kio (Others),#01-4000,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 715 Ang Mo Kio Ave 6  #01-4000 Singapore 560715,560715,1.371,103.8459,https://www.halaltag.com/place/5
KFC,Bedok Central,,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 209 New Upper Changi Road   Singapore 460209,460209,1.3247,103.9311,https://www.halaltag.com/place/5
KFC,Bedok Mall,#B2-06,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",311 New Upper Changi Road #B2-06 & 33 Singapore 467360,467360,1.3248,103.9293,https://www.halaltag.com/place/5
KFC,Bedok Reservoir,#01-872,"KFC, Delivery, Fast Food, Cuisine, Western, Food, View Food, Recommend food, Curry Rice, Fried Chicken, Porridge, Grilled Chicken, Burger, Egg Tart",Blk 632 Bedok Reservior Road  #01-872  Singapore 470632,470632,1.3321,103.9141,https://www.halaltag.com/place/5
