Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
EW29,JKN,Joo Koon,裕群,2009,,91 Joo Koon Circle,629116,1.327738889,103.6784861
EW3,SIM,Simei,四美,1989,,30 Simei Street 3,529888,1.343444444,103.9531722
EW30,GCL,Gul Circle,卡尔圈,2017,,7A Tuas Road,637288,1.3212,103.6657
EW31,TCR,Tuas Crescent,大士弯,2017,,90 Pioneer Road,639608,1.321138889,103.649
EW32,TWR,Tuas West Road,大士西路,2017,,131 Pioneer Road,639609,1.330055556,103.6396111
EW33,TLK,Tuas Link,大士连路,2017,,20 Tuas West Drive,638418,1.340277778,103.6368056
EW4,TNM,Tanah Merah,丹那美拉,1989,,920 New Upper Changi Road,467356,1.327358333,103.9463444
EW5,BDK,Bedok,勿洛,1989,,315 New Upper Changi Road,467347,1.324038889,103.9300361
EW6,KEM,Kembangan,景万岸 / 景萬岸,1989,,55 Sims Avenue East,416551,1.320983333,103.9128417
EW7,EUN,Eunos,友诺士,1989,,30 Eunos Crescent,409423,1.319725,103.9031083
EW8,PYL,Paya Lebar,巴耶利峇,1989,,30 Paya Lebar Road,409006,1.317777778,103.8925
EW9,ALJ,Aljunied,阿裕尼,1989,,81 Lorong 25 Geylang,388310,1.316441667,103.8829806
JE1,TGP,Tengah Plantation,登加种植,2028,,,,1.357222222,103.7333333
JE2,TGK,Tengah Park,登加公园,2028,,,,1.352222222,103.7366667
JE3,BBW,Bukit Batok West,武吉巴督西,2028,,,,1.345555556,103.7397222
JE4,TGN,Toh Guan,卓源,2028,,,,1.339722222,103.7425
JE5,JUR,Jurong East,裕廊东,2028,,10 Jurong East Street 12,609690,1.333333333,103.7422222
JE6,JTH,Jurong Town Hall,裕廊镇大会堂,2028,,,,1.326111111,103.7461111
JE7,PDR,Pandan Reservoir,班丹蓄水池,2028,,,,1.32,103.745
JS1,CCK,Choa Chu Kang,蔡厝港,2027,,10 Choa Chu Kang Avenue 4,689810,1.385,103.7444444
JS10,TKN,Tukang,都康,2029,,,,1.325277778,103.7091667
JS11,JRH,Jurong Hill,裕廊山,2029,,,,1.318611111,103.7102778
JS12,JRP,Jurong Pier,裕廊渡头,2029,,,,1.313055556,103.7102778
JS2,CKW,Choa Chu Kang West,蔡厝港西,2027,,,,1.3790999,103.7378208
JS3,TGH,Tengah,登加,2027,,,,1.366388889,103.73
JE0,TGH,Tengah,登加,2027,,,,1.366388889,103.73
JS4,HGK,Hong Kah,丰加,2027,,,,1.358055556,103.7258333
JS5,CPN,Corporation,企业,2027,,,,1.353055556,103.7138889
JS6,JRW,Jurong West,裕廊西,2027,,,,1.349166667,103.7083333
JS7,BHJ,Bahar Junction,峇哈路口,2027,,,,1.345422222,103.7025417
JW0,BHJ,Bahar Junction,峇哈路口,2027,,,,1.345422222,103.7025417
JS8,BNL,Boon Lay,文礼,2027,,301 Boon Lay Way,649846,1.338883333,103.7062083
JS9,ETP,Enterprise,事业,2029,,,,1.332777778,103.7086111
JW1,GKP,Gek Poh,玉宝,2027,,,,1.348333333,103.6980556
JW2,TWS,Tawas,大华士,2027,,,,1.350555556,103.6919444
JW3,NYG,Nanyang Gateway,南洋门,2029,,,,1.353611111,103.6866667
JW4,NYC,Nanyang Crescent,南洋弯,2029,,,,1.348333333,103.6808333
JW5,PKH,Peng Kang Hill,秉光山,2029,,,,1.343333333,103.6786111
NE1,HBF,HarbourFront,港湾,2003,,81 Telok Blangah Road,98867,1.265277778,103.8222222
NE10,PTP,Potong Pasir,波东巴西,2003,,55 Upper Serangoon Road,347694,1.331111111,103.8691667
NE11,WLH,Woodleigh,兀里,2011,,400 Upper Serangoon Road,347695,1.339166667,103.8708333
NE12,SER,Serangoon,实龙岗,2003,,600 Upper Serangoon Road,534801,1.35,103.8730556
NE13,KVN,Kovan,高文,2003,,900 Upper Serangoon Road,534799,1.360277778,103.885
NE14,HGN,Hougang,后港,2003,,80 Hougang Central,538758,1.371388889,103.8922222
NE15,BGK,Buangkok,万国,2006,,10 Sengkang Central,545061,1.382777778,103.8927778
NE16,SKG,Sengkang,盛港,2003,,5 Sengkang Square,545062,1.391666667,103.895
NE17,PGL,Punggol,榜鹅,2003,,70 Punggol Central,828868,1.405277778,103.9025
NE18,PGC,Punggol Coast,榜鹅海岸,2024,,,,1.415833333,103.9133333
NE3,OTP,Outram Park,欧南园,2003,,10 Outram Road,169037,1.280277778,103.8394444
NE4,CNT,Chinatown,牛车水,2003,,151 New Bridge Road,59443,1.284722222,103.8438889
NE5,CQY,Clarke Quay,克拉码头,2003,,10 Eu Tong Sen Street,59815,1.288611111,103.8466667
NE6,DBG,Dhoby Ghaut,多美歌,2003,,11 Orchard Road,238826,1.299166667,103.8458333
NE7,LTI,Little India,小印度,2003,,60 Bukit Timah Road,229900,1.306666667,103.8491667
NE8,FRP,Farrer Park,花拉公园,2003,,250 Race Course Road,218703,1.312222222,103.8541667
NE9,BNK,Boon Keng,文庆,2003,,900 Serangoon Road,328260,1.319444444,103.8616667
